报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,
营业总收入(万元),137068,100441,43744,709608,615205,557871,492242,2198688,1679537,1006314,463451,1301673,837497,446071,213346,681894,474515,293880,102695,236124,136527,75192,34189,116731,82874,55298,27581,59856,35590,22310,10475,23826,17305,10197,14573,10365,5979,7361,3692,
营业收入(万元),134792,98378,42854,702522,609464,554089,490643,2195095,1677383,1006314,463451,1301673,837497,446071,213346,681894,474515,293880,102695,236124,136527,75192,34189,116731,82874,55298,27581,59856,35590,22310,10475,23826,17305,10197,14573,10365,5979,7361,3692,
利息收入(万元),2277,2063,890,7086,5732,3782,1599,3593,2154,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
手续费及佣金收入(万元),--,--,--,--,9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
营业总成本(万元),331105,238756,88790,2462418,938065,698125,469737,2236101,1679702,1004984,451166,1302605,840607,447261,213109,677108,473180,288558,98280,212318,118220,61959,25984,96990,69500,45095,21705,43719,24657,15190,7006,16533,11878,6926,9831,7047,4004,4192,2200,
营业成本(万元),187933,147246,53049,970671,708131,561454,357319,1822922,1424571,856017,390909,1111201,737072,378789,186650,582813,408161,248795,80328,166868,91089,45370,18695,68425,50462,32085,15329,27509,13920,8619,3809,8021,5888,3499,4955,3334,2113,1485,1182,
利息支出(万元),177,177,127,2616,2234,1419,806,1628,864,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
手续费及佣金支出(万元),--,--,--,--,1,0,--,78,78,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
研发费用(万元),8195,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
营业税金及附加(万元),161,154,33,1976,2302,2155,1542,15258,4860,3000,1201,9468,2759,1678,862,5685,1429,1473,506,2592,1153,679,496,4513,3955,3174,1429,2995,1569,958,638,1016,770,462,647,453,268,299,122,
销售费用(万元),38705,18930,6544,171457,74122,50161,83005,236588,163694,90915,38669,104074,62942,44288,16177,48904,35589,20462,10240,19452,11085,6577,3076,13359,8552,5693,2707,9632,6928,4022,1970,5792,4061,2246,2892,2230,1234,1830,581,
