报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),500755,274802,516618,326143,558016,329542,279791,317648,419054,439179,521068,747989,593828,492061,521017,551556,487799,275167,265740,296109,328735,346393,323812,252706,299847,346231,351166,688379,487287,605126,272781,267227,185792,197783,151376,241037,266483,121587,112916,122701,96955,114310,120496,142679,130508,110843,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,
交易性金融资产(万元),20572,23624,64727,60501,77682,80351,58365,62914,59628,66074,30781,86222,--,3395,115274,136777,142569,145698,177361,165397,189324,140707,101127,104155,109025,102416,96600,62346,23718,15786,--,0,--,0,--,0,--,0,--,--,--,--,138,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,
应收票据(万元),573683,466817,299825,264095,167199,42143,58726,30857,46196,140320,265276,249242,149088,231011,128992,147175,105803,103591,154564,186192,169492,214094,290653,208126,301196,368376,400090,337232,274083,342847,175700,264068,317334,240495,233340,218598,123942,92308,114329,176092,177943,72161,155554,79768,133221,108029,
应收账款(万元),71267,63792,54416,37395,53044,43873,47073,56511,53839,54505,51620,42721,60452,69406,78609,54893,75944,54609,87935,50128,61233,57616,85783,88808,85581,44628,90221,44169,54076,22745,38308,25831,38083,14129,28937,16764,30758,19674,27901,23778,27770,19949,31695,59999,64397,47240,
预付款项(万元),32586,23413,34878,36096,22110,24157,16726,16630,11976,14516,16768,21771,19381,18886,26365,46570,38205,40251,57860,60051,61896,68719,99020,119917,135034,77376,116114,118807,110404,92939,27733,25896,51007,30627,25776,20637,16946,14355,39035,66008,64322,39730,73549,74469,57490,49784,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,282,262,175,119,370,344,544,421,710,1065,933,1652,751,206,170,27,3,89,99,350,470,1213,857,790,1647,1318,1451,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,500,500,--,--,--,--,--,2685,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,
其他应收款(万元),3231,3909,4377,3850,4367,3477,4661,7524,6501,5357,17815,7643,10308,14035,29993,22950,27555,25307,28616,28760,30211,24980,18969,15335,13230,13464,15253,12921,11422,8932,1264,1341,1201,1057,701,1081,1051,944,440,482,636,692,453,658,490,1056,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,
存货(万元),445769,415183,388097,366222,438049,372634,321579,315364,281934,266787,357687,389242,415619,392494,422093,414252,426388,415899,416423,420853,502859,455108,468482,577049,606917,578198,739072,832975,750585,592221,471059,438452,405415,379279,390246,435264,475564,459103,600478,534550,465241,433304,329193,304819,236424,241981,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,
其他流动资产(万元),50805,127752,52743,35427,46878,46890,39095,27882,33157,37907,41942,34702,39445,43010,41765,57165,58507,53667,22322,20278,26120,27912,22592,22929,21007,19712,21757,17172,14900,15798,11677,10793,8768,10546,10164,9956,8992,8307,1171,1276,6985,1125,1154,1228,1469,655,
流动资产合计(万元),1698667,1399291,1415681,1130012,1367607,943243,826135,835699,912629,1025189,1303379,1580243,1289686,1265732,1365761,1432089,1362975,1114360,1210849,1230455,1369960,1335627,1410787,1389494,1573050,1551258,1831063,2115647,1727794,1697845,998521,1033607,1007600,873916,840541,943337,923735,716278,896271,924889,839852,681271,712233,663621,624000,559588,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),24255,24279,21306,14850,17186,18721,25037,14951,26541,21871,44538,12027,8709,8709,8709,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,0,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,
长期应收款(万元),0,--,16748,21407,21092,20777,22338,22015,21699,21387,22234,21902,21549,21187,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,
长期股权投资(万元),30055,28734,19991,23758,25526,23776,31945,31751,31654,31622,33331,33531,33928,33894,36182,44562,71027,70831,73684,70421,70047,70041,68533,100899,90515,88038,83076,82137,48458,38014,28685,28685,8575,8575,8575,8575,8575,8575,8575,8575,8575,8575,8575,8575,11575,8575,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,--,--,--,185,189,193,--,
固定资产原值(万元),--,3707667,--,3707216,--,3687077,--,3645316,--,3599528,--,3481728,--,3445989,--,3398095,--,2480762,--,2536320,--,2573705,--,2516424,--,2529154,--,2412817,--,2396595,--,646218,--,651079,--,638525,--,632801,--,613404,--,573852,--,561994,--,522183,
累计折旧(万元),--,1644275,--,1576811,--,1497257,--,1417989,--,1339344,--,1264199,--,1208151,--,1136707,--,1080279,--,1089123,--,1080372,--,1046171,--,994944,--,920534,--,838113,--,336793,--,315291,--,293094,--,271492,--,250847,--,232281,--,223489,--,205379,
固定资产净值(万元),--,2063392,--,2130405,--,2189819,--,2227328,--,2260184,--,2217529,--,2237837,--,2261388,--,1400483,--,1447198,--,1493333,--,1470253,--,1534209,--,1492283,--,1558482,--,309425,--,335788,--,345431,--,361309,--,362557,--,341571,--,338505,--,316804,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,5313,--,5900,--,5900,--,21614,--,587,--,587,--,587,--,--,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,
固定资产(万元),2042719,2063392,2104298,2130405,2152717,2189819,2200454,2227328,2227345,2260184,2185423,2217529,2219356,2232524,2262916,2255489,1932069,1394583,1409458,1425584,1440666,1492746,1439856,1469666,1509519,1533623,1457190,1492283,1523732,1558482,298825,309425,325113,335788,341116,345431,355377,361309,349711,362557,333320,341571,329240,338505,342521,316804,
