报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),8630,17564,3868,86,6914,7829,100513,121796,174727,216529,191705,204803,202516,195931,155612,192188,76209,113330,221456,129804,100864,94873,112721,88269,63874,98216,77221,72278,69273,95737,109979,70176,90151,90404,59152,51072,72356,97500,107519,21575,47867,8045,3438,15254,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,--,--,0,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,--,--,0,--,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,--,--,0,--,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
应收票据(万元),--,--,--,--,3434,855,1591,2650,9399,9414,9078,3002,1259,7650,12990,19884,17161,45497,28124,37862,37547,37021,57213,66971,81559,63141,49718,68452,51822,25022,32607,27957,20180,22656,15508,15871,15587,17312,16749,18172,11502,922,4897,2258,
应收账款(万元),--,6857,2954,--,34037,51042,63519,60670,72696,94099,76081,72246,75364,66832,64806,50185,134388,78822,80393,40974,38494,34372,18677,21435,44019,42068,40791,19984,31785,33046,27142,11753,20333,13713,20360,11849,23397,10805,12288,5251,9013,5604,7163,5617,
预付款项(万元),12620,4466,4450,--,11206,15776,18969,13583,38253,43632,40124,58829,113676,130729,117159,122135,85913,105405,129724,113781,119292,114635,134800,103696,138486,127668,77811,88295,63805,54628,46445,46867,24332,17540,11914,11977,52495,47340,51148,31309,21659,2850,3922,8204,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,--,--,0,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,--,--,0,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,--,--,0,--,0,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,--,--,0,--,0,
应收股利(万元),--,--,--,--,--,22,--,28,28,28,28,28,--,--,--,--,--,--,--,--,--,25,25,25,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,--,--,0,--,0,
其他应收款(万元),4461,4601,4862,21588,15460,15440,13379,10429,11298,12902,11305,11076,10538,9610,10784,10061,24342,22349,23196,16836,15437,12965,10342,8727,15261,13739,9062,8721,30636,26002,14234,11401,12088,11664,9258,9354,10629,6359,3933,2900,5993,1394,1071,13016,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,--,--,0,--,0,
存货(万元),708,--,--,--,42738,55262,45633,40080,64889,63959,66772,65976,99416,89773,105974,121511,116020,135539,104974,117728,162073,183689,142227,127680,122402,107486,111888,106866,84949,88887,64134,77134,62894,60371,54420,69127,80398,58638,35616,37104,29383,6325,8109,18774,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,0,
