报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),199955,123643,226464,153040,118078,125802,190984,90704,84974,88896,186460,68474,61117,41531,50667,54237,63553,71868,70442,63663,81469,102182,110853,110303,105373,115952,111594,113916,111862,123470,121386,128392,123124,129810,126871,123770,20673,16402,18421,5391,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,50,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,4,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应收票据(万元),13595,12531,9291,7193,7963,6743,7473,7709,6061,4906,5819,4768,4206,3233,2544,3213,3312,3646,4141,2997,2262,2446,2280,1904,2425,2360,2661,2565,2083,1652,967,1290,1522,1467,687,783,602,773,30,0,
应收账款(万元),193285,182591,163227,156141,149638,137835,121914,125229,120409,124570,118285,113634,109210,105422,81691,83045,79197,72214,63989,62679,59609,57096,42713,42425,40361,39685,29231,27667,24784,21429,15968,13966,13786,12549,11065,10178,9581,7625,6999,1225,
预付款项(万元),11967,12512,10819,14220,14563,11609,11038,14704,14585,13447,12146,9817,8563,11484,7691,8431,6841,8029,7251,15806,11788,12472,10406,3873,5923,7641,7936,4679,3961,7326,6485,4335,2328,2696,2251,2479,2254,2947,2520,989,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应收利息(万元),801,673,541,313,627,442,444,--,--,50,--,7,47,--,--,1356,1299,1522,1271,1844,1941,2661,2405,2419,1964,1670,1214,888,715,730,798,698,788,626,401,0,0,25,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
其他应收款(万元),18684,24095,9852,14999,10648,10919,7729,13344,13404,11368,5157,14795,7702,7468,3947,4869,4846,3806,3497,3924,3441,3443,2805,3358,2668,3334,2702,3502,3399,2844,1596,2081,1958,1826,1321,1928,1412,1187,1218,2655,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
存货(万元),71879,66846,70233,69192,66734,61976,57416,57020,52283,50286,51856,52873,45461,44199,24970,24016,22894,23335,22014,20602,21333,18507,15109,15477,13504,11838,11853,11818,11376,10282,10182,9906,9278,8254,7903,6863,6915,5340,4389,2262,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
一年内到期的非流动资产(万元),31097,20505,20758,19956,16497,15851,15388,12846,9421,--,--,--,--,1,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
其他流动资产(万元),4856,2900,4684,2326,1886,2239,1922,1313,1540,1935,1780,17,7,1,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
流动资产合计(万元),546117,446295,515871,437380,386635,373417,414309,322867,302678,295458,381502,264385,236314,213339,171513,179217,181942,184421,172605,171515,181844,198805,186572,179759,172217,182479,167191,165034,158179,167731,157382,160667,152784,157227,150498,146001,41437,34304,33577,12523,
发放贷款及垫款(万元),298,298,298,298,298,298,298,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
可供出售金融资产(万元),166106,178222,97123,65736,45176,45748,44348,49216,18796,17285,3458,2550,50,50,50,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
长期应收款(万元),6560,8280,8713,10815,11814,13491,14867,15904,14800,6262,2890,2223,1664,752,768,264,145,180,249,340,265,254,345,267,353,470,525,860,628,773,5738,961,1039,549,428,333,333,0,3000,0,
长期股权投资(万元),98887,90360,79416,58247,58288,55831,56040,45848,31946,31833,26863,24418,20656,16184,16006,330,385,415,415,420,12080,400,9435,5650,5502,5371,5275,5195,5075,4921,--,--,0,1092,1089,1071,1064,1062,0,0,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
投资性房地产(万元),8930,9021,9991,9810,9903,9997,10091,6455,6559,6624,6689,4133,1684,1702,1720,1738,1756,1774,1792,1811,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
固定资产原值(万元),201678,--,190142,--,183720,--,175023,--,141759,--,137678,--,112681,--,72662,--,66942,--,64185,--,53160,--,48158,--,46390,--,35301,--,30453,--,22046,--,14733,--,13111,0,12201,11080,0,0,
累计折旧(万元),81753,--,75442,--,69713,--,63031,--,52540,--,47701,--,41564,--,20292,--,17455,--,15115,--,13096,--,9756,--,7908,--,6484,--,5344,--,4337,--,3296,--,2519,0,1957,1410,0,0,
固定资产净值(万元),119925,--,114700,--,114007,--,111992,--,89219,--,89977,--,71117,--,52370,--,49488,--,49070,--,40064,--,38402,--,38482,--,28817,--,25109,--,17709,--,11437,--,10591,0,10243,9670,0,0,
固定资产减值准备(万元),1432,--,1433,--,1433,--,1433,--,99,--,99,--,99,--,99,--,99,--,108,--,12,--,17,--,17,--,17,--,29,--,29,--,29,--,29,0,29,29,0,0,
固定资产(万元),118492,115508,113267,113344,112574,109431,110559,96628,89120,87973,89878,79759,71018,70546,52271,50333,49389,48634,48962,40198,40052,40624,38385,39077,38465,29665,28800,24198,25081,17743,17681,15952,11409,10678,10563,10273,10215,9641,7048,3176,
在建工程(万元),35880,33082,28147,19579,13205,11534,5876,13671,14472,13821,10662,28280,28045,22630,20480,20030,20429,20106,19692,17889,13640,13249,12896,18151,17724,22548,19256,22166,19839,22729,21226,21567,23945,19345,16761,14019,13984,10027,696,1122,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,20,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
无形资产(万元),133460,128956,131269,131004,133431,128122,53194,49787,48231,45201,45576,42065,36368,37483,12165,7645,7911,7910,8092,5148,3127,1964,1053,1014,1019,345,360,314,335,380,396,357,396,432,456,494,545,618,805,958,
开发支出(万元),24350,23509,22311,21702,20490,19549,18223,19547,15118,15328,14988,12367,11429,10118,9253,6143,5364,4003,3272,4027,3889,4881,4789,4439,4167,4650,4354,3692,3131,2742,2151,1236,971,833,724,670,615,375,0,0,
商誉(万元),216300,216300,216300,211946,211377,207479,206857,202727,179882,179882,179882,184927,109167,105934,71989,55658,55658,55658,55658,60305,26409,24116,19808,18147,17950,17950,17950,17950,17950,17950,17950,5619,5619,4828,4828,4828,4828,4828,0,0,
长期待摊费用(万元),10308,10177,9520,8975,7990,6782,6269,5334,4804,4610,4208,2156,1906,1842,1470,853,833,973,774,1412,1415,1441,1314,400,452,--,301,--,--,--,--,--,0,--,0,38,0,0,0,0,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
递延所得税资产(万元),5262,5273,5166,4284,4047,4140,4096,3114,3020,3001,2919,2963,2610,2305,2124,1351,1322,1123,1157,1047,699,658,422,355,340,276,272,172,168,155,152,144,144,119,170,95,95,70,22,13,
其他非流动资产(万元),28087,14552,41679,8039,6625,5448,5018,1539,6518,3443,3474,1500,12552,3528,23185,16175,141,146,157,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
非流动资产合计(万元),852920,833539,763201,663778,635218,617849,535735,509771,433266,415284,391487,387341,297148,273073,211480,160520,143334,140922,140220,132596,101576,87588,88447,87500,85973,81274,77092,74547,72206,67394,65293,45835,43524,37876,35019,31822,31680,26621,11570,5268,
资产总计(万元),1399037,1279834,1279072,1101158,1021853,991267,950045,832638,735944,710741,772989,651726,533462,486412,382993,339736,325276,325343,312825,304111,283420,286393,275019,267259,258190,263753,244282,239581,230386,235125,222675,206502,196308,195103,185517,177823,73117,60924,45147,17791,
短期借款(万元),203829,166579,146379,126379,46500,42936,64966,78466,84898,18449,60043,53150,49246,39441,23500,--,--,--,--,--,--,1621,--,--,--,--,--,--,--,--,--,--,0,--,3000,3000,3000,0,0,0,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应付票据(万元),10269,9577,9912,9620,6449,5787,6925,8439,6700,4992,5176,4118,6351,10258,1368,1910,300,--,12,27,23,--,96,92,62,12,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应付账款(万元),53197,50162,46469,42006,45086,38953,31874,33155,29504,29481,27563,26763,25294,22941,10459,8701,8120,9321,6285,5607,4931,3506,4201,4788,3611,4220,2918,3834,3473,3600,3343,1826,1030,2426,1415,1324,2514,1435,829,402,
预收账款(万元),12924,12711,11908,12314,12252,10751,10427,9177,9296,8427,10334,8646,7495,5808,5032,4291,5124,6101,6522,7442,3782,1906,1654,2216,2370,1930,1064,2084,1433,1239,1184,1130,1266,897,917,911,1255,1037,1429,642,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应付职工薪酬(万元),2901,2480,7100,4658,3518,2079,4830,2164,2145,1780,3764,2002,1469,1138,1971,1318,900,563,1536,1204,937,285,739,583,97,114,623,473,148,138,647,1050,1034,312,918,624,542,876,201,294,
应交税费(万元),16730,14322,11661,10723,10868,12689,10096,8970,8580,8382,7985,6357,4824,5649,3805,3700,3530,3553,2703,3014,2404,3484,2543,1877,1749,4959,3000,2495,2126,3855,2876,1749,1764,1815,1525,954,888,584,803,2212,
应付利息(万元),4566,3662,1500,1798,1495,1085,458,160,243,106,120,201,125,114,33,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,4,0,0,0,0,0,
应付股利(万元),2027,610,430,3915,6239,269,364,1216,3788,592,592,3081,4015,--,--,--,--,--,--,--,1108,--,--,--,3183,14616,--,5162,6893,1796,1811,2600,2600,--,0,0,4084,1768,302,0,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
其他应付款(万元),27966,30341,72011,49832,47084,48398,12962,33995,19672,57429,33418,62470,8222,33000,5553,5260,4837,5279,4774,5711,2959,3241,2786,2245,1841,1572,1520,1382,2176,2427,5158,2052,2032,2190,1680,3396,2972,3671,2870,1689,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
一年内到期的非流动负债(万元),18430,18052,14301,--,98,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
其他流动负债(万元),61340,60036,--,69,61666,61212,60640,60105,--,51875,51273,50788,50065,--,--,--,--,--,--,--,--,--,--,70,--,--,--,--,--,--,--,45,53,39,32,0,0,0,0,0,
流动负债合计(万元),414178,368532,321670,261313,241255,224159,203541,235848,164825,181513,200268,217576,157104,118348,51721,25180,22810,24817,21831,23006,16146,14043,12020,11870,12914,27422,9126,15429,16249,13055,15020,10451,9778,7680,9491,10208,15254,9371,6434,5240,
长期借款(万元),190678,131251,119205,90494,66850,68850,72900,74900,76950,39450,31000,31000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应付债券(万元),119356,119266,119175,60101,59565,59520,59475,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
长期应付款(万元),3132,3271,3288,2863,2907,3102,2960,--,--,68,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1278,1278,1236,1151,1051,1051,1051,911,994,900,1085,885,950,950,950,430,430,430,430,325,1000,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
长期递延收益(万元),3840,3973,4236,3478,3517,3469,3362,3155,3108,3187,3195,1015,1290,1958,2013,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,
