报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),145320,127276,140372,72608,63139,56402,57510,78882,61009,90101,56039,52823,46395,47997,53253,53116,43508,48080,51421,47988,45065,52183,46600,43963,41675,55519,74514,71258,10379,6423,20075,5657,6294,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
交易性金融资产(万元),20405,17794,26956,7217,22248,17977,28175,8219,3960,1000,17421,3569,3962,3600,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
应收票据(万元),81187,72252,74559,59689,53406,46947,36374,35569,31503,31546,41209,38267,42845,29849,27950,25147,23297,21935,28965,20260,27023,28651,33022,39728,35758,34389,31480,28380,17709,14382,5773,5699,5115,
应收账款(万元),25204,23767,15200,23364,16468,21765,14455,21117,19150,24365,12550,18045,13598,18649,11668,17458,13592,15605,10431,13279,10619,14079,8577,11782,10706,12438,7230,8283,7266,7952,4177,4289,3181,
预付款项(万元),11307,9715,9113,12966,11574,12663,10057,12181,9270,10334,8533,17857,10181,27717,23485,14413,11572,11141,21077,19035,14118,24243,18069,17299,19171,16527,11843,8226,6723,10492,8533,9306,5010,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
应收利息(万元),1067,787,195,356,266,45,288,200,203,355,196,343,300,365,185,298,373,254,161,536,431,266,85,5,540,25,--,--,--,0,0,0,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,78,--,--,0,0,0,--,
其他应收款(万元),423,198,220,642,406,497,473,742,763,702,518,646,651,2650,298,499,407,483,253,440,281,203,304,555,373,364,256,509,1117,714,833,165,230,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,
