报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),14585,13770,12002,32093,35897,24158,18321,22027,17848,17908,16837,19023,12718,14886,19932,10585,10860,8479,11171,10357,12110,9845,13526,15489,18900,6769,9295,10658,11050,14582,17932,21437,44381,37211,42447,42057,40560,48544,52378,3991,4086,2972,1771,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,7,--,--,39,228,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应收票据(万元),1749,1947,1744,1165,1341,1315,175,240,211,186,213,148,281,181,259,73,338,158,284,383,761,112,25,218,48,70,50,191,65,93,--,--,10,--,--,0,--,0,0,0,5,21,0,
应收账款(万元),35032,31031,37478,35854,38079,32968,20518,21538,21206,19929,24889,25283,27069,24436,26606,28072,27609,26426,26349,26249,26562,25865,26731,24989,26581,23549,24691,23453,22097,20266,16517,14325,12878,9206,11200,10741,10117,8314,8572,8223,6944,5228,4477,
预付款项(万元),3918,3220,3343,2475,1857,1627,1747,629,944,681,1133,812,2016,803,766,575,791,714,1078,1069,1391,1419,1746,1938,1171,1850,3965,3249,5426,4558,3897,4006,3076,2086,1802,1230,570,349,1002,800,1108,1279,1412,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应收利息(万元),184,127,--,10,--,--,--,--,107,80,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
其他应收款(万元),--,--,3256,1695,1733,1533,1188,1024,1409,973,995,965,1063,861,1247,2004,2058,1772,3218,3280,4505,4668,10032,10771,11503,10658,12343,11560,10601,9533,23269,23190,8374,7431,1365,1117,111,135,56,64,67,41,365,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
