报告日期,2017-09-30,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),3072,4682,4489,4753,9910,2171,1844,
结算备付金(万元),--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,
应收票据(万元),2915,2385,1067,3138,1102,359,492,
应收账款(万元),15129,15495,11805,10923,10264,6398,4957,
预付款项(万元),2125,510,1945,192,112,372,508,
应收保费(万元),--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,
其他应收款(万元),70,52,169,106,132,547,242,
应收出口退税(万元), --,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,
存货(万元),12363,10895,10293,7953,6175,5452,4775,
待摊费用(万元),--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,
其他流动资产(万元),76,39,108,128,131,2166,2526,
流动资产合计(万元),35750,34058,29876,27194,27826,17466,15345,
发放贷款及垫款(万元),--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,31,
持有至到期投资(万元),--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,37,321,
固定资产原值(万元),21234,20261,18223,--,--,--,--,
累计折旧(万元),6751,6174,5263,--,--,--,--,
固定资产净值(万元),14484,14087,12960,--,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,
固定资产(万元),14484,14087,12960,11878,10852,8437,6153,
在建工程(万元),357,182,77,--,--,289,643,
工程物资(万元),--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,
无形资产(万元),1522,1537,1364,1384,1387,1407,1335,
开发支出(万元),--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,
长期待摊费用(万元),939,1031,1183,621,152,29,44,
股权分置流通权(万元),--,--,--,--,--,--,--,
递延所得税资产(万元),444,360,315,368,367,357,145,
其他非流动资产(万元),122,180,162,196,--,174,50,
非流动资产合计(万元),17868,17377,16063,14447,12758,10732,8722,
资产总计(万元),53618,51435,45939,41641,40584,28198,24068,
短期借款(万元),3850,4825,3850,3850,7550,4850,4650,
向中央银行借款(万元),--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,
应付票据(万元),--,151,--,--,731,502,--,
应付账款(万元),5063,5352,5191,6318,4180,2505,1623,
预收账款(万元),664,330,333,245,235,502,380,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,
应付职工薪酬(万元),1303,1105,1204,914,804,493,391,
应交税费(万元),535,866,694,510,1329,618,716,
应付利息(万元),5,6,5,5,12,8,7,
应付股利(万元),--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,
其他应付款(万元),182,184,227,214,588,848,1341,
预提费用(万元),--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,
流动负债合计(万元),11603,12819,11504,12057,15427,10327,9110,
长期借款(万元),--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,
长期递延收益(万元),583,335,357,310,330,166,41,
递延所得税负债(万元),--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,
非流动负债合计(万元),583,335,357,310,330,166,41,
负债合计(万元),12186,13154,11861,12367,15757,10492,9151,
实收资本(或股本)(万元),7500,7500,7500,7500,7500,2493,2493,
资本公积(万元),15362,15362,15362,15362,15362,1355,1355,
减:库存股(万元),--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,
盈余公积(万元),920,920,920,158,158,816,635,
一般风险准备(万元),--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,
未分配利润(万元),17651,14499,10296,6254,1808,12520,9990,
拟分配现金股利(万元),--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),41432,38281,34078,29274,24827,17184,14472,
少数股东权益(万元),--,--,--,--,--,522,445,
所有者权益(或股东权益)合计(万元),41432,38281,34078,29274,24827,17706,14917,
负债和所有者权益(或股东权益)总计(万元),53618,51435,45939,41641,40584,28198,24068,		
  
